llhd,beta,alpha
-4869.8597409921995,21.1105263157895,9.52631578947368
-4895.71809412238,21.1105263157895,10.5736842105263
-4922.204032757621,21.1105263157895,11.6210526315789
-4949.07007337854,21.1105263157895,12.6684210526316
-4976.12621669679,21.1105263157895,13.715789473684199
-5003.22691002539,21.1105263157895,14.7631578947368
-5030.26091667626,21.1105263157895,15.810526315789499
-5057.1435115393,21.1105263157895,16.857894736842102
-5083.8104914406,21.1105263157895,17.905263157894698
-5110.21358014251,21.1105263157895,18.952631578947397
-5136.31689692803,21.1105263157895,20.0
-4759.47819938084,23.7368421052632,0.1
-4747.81025989706,23.7368421052632,1.14736842105263
-4748.3080428516205,23.7368421052632,2.19473684210526
-4756.62841218877,23.7368421052632,3.2421052631578897
-4770.4533411619,23.7368421052632,4.28947368421053
-4788.29604099177,23.7368421052632,5.33684210526316
-4809.10922974462,23.7368421052632,6.3842105263157904
-4832.10954410015,23.7368421052632,7.43157894736842
-4856.693105543,23.7368421052632,8.47894736842105
-4882.390916628,23.7368421052632,9.52631578947368
-4908.83969453095,23.7368421052632,10.5736842105263
-4935.7593980801,23.7368421052632,11.6210526315789
-4962.9350614225,23.7368421052632,12.6684210526316
-4990.202219292,23.7368421052632,13.715789473684199
-5017.43542396952,23.7368421052632,14.7631578947368
-5044.53932734365,23.7368421052632,15.810526315789499
-5071.441813734929,23.7368421052632,16.857894736842102
-5098.08873136565,23.7368421052632,17.905263157894698
-5124.43985168914,23.7368421052632,18.952631578947397
-5150.46576478896,23.7368421052632,20.0
-4751.15831573324,26.3631578947368,0.1
-4745.158067140061,26.3631578947368,1.14736842105263
-4749.81684348998,26.3631578947368,2.19473684210526
-4761.3065181667,26.3631578947368,3.2421052631578897
-4777.56987157022,26.3631578947368,4.28947368421053
-4797.293448626339,26.3631578947368,5.33684210526316
-4819.55456505964,26.3631578947368,6.3842105263157904
-4843.663369210511,26.3631578947368,7.43157894736842
-4869.08820742722,26.3631578947368,8.47894736842105
