Date,EnergyConsumption,Energy Source
2007,269.18545530000006,5 Hydro
2007,30.70724869,2 Nuclear
2007,900.0696411,7 Gas
2007,1071.633301,6 Coal
2007,1734.7407230000001,8 Oil
2008,3.267395735,1 Geo Biomass
2008,0.204168335,3 Solar
2008,3.6861729619999997,4 Wind
2008,272.48349,5 Hydro
2008,35.06555176,2 Nuclear
2008,935.1621094000001,7 Gas
2008,1180.7250980000001,6 Coal
2008,1824.850952,8 Oil
2009,3.562722206,1 Geo Biomass
2009,0.267598331,3 Solar
2009,4.438264847,4 Wind
2009,278.0455933,5 Hydro
2009,34.31848145,2 Nuclear
2009,940.8606566999999,7 Gas
2009,1176.002075,6 Coal
2009,1885.976318,8 Oil
2010,3.76455307,1 Geo Biomass
2010,0.59966141,3 Solar
2010,6.341038704,4 Wind
2010,298.9256287,5 Hydro
2010,36.02827454,2 Nuclear
2010,980.7318115,7 Gas
2010,1164.8400880000002,6 Coal
2010,1966.2146,8 Oil
2011,3.858768463,1 Geo Biomass
2011,1.6609555480000002,3 Solar
2011,6.58354044,4 Wind
2011,305.5223999,5 Hydro
2011,34.1540947,2 Nuclear
2011,1060.5269779999999,7 Gas
2011,1147.299316,6 Coal
2011,1934.170898,8 Oil
2012,4.042406559,1 Geo Biomass
2012,2.721807241,3 Solar
2012,6.8976960179999995,4 Wind
2012,304.9770508,5 Hydro
2012,34.11926651,2 Nuclear
2012,1146.770386,7 Gas
2012,1118.487061,6 Coal
2012,2046.8299559999998,8 Oil
2013,4.433248997,1 Geo Biomass
2013,2.1463210580000003,3 Solar
2013,9.793644905,4 Wind
2013,320.6520691,5 Hydro
2013,36.89141464,2 Nuclear
2013,1169.745483,7 Gas
2013,1130.160645,6 Coal
2013,2121.441406,8 Oil
2014,5.4620470999999995,1 Geo Biomass
2014,5.158529282,3 Solar
2014,13.70823193,4 Wind
2014,336.1504211,5 Hydro
2014,35.85942459,2 Nuclear
2014,1202.319946,7 Gas
2014,1183.80603,6 Coal
2014,2143.333496,8 Oil
2015,7.169681549,1 Geo Biomass
2015,8.775348662999999,3 Solar
2015,23.99623108,4 Wind
2015,324.2737122,5 Hydro
2015,31.62243271,2 Nuclear
2015,1325.3598630000001,7 Gas
2015,1119.038574,6 Coal
2015,2199.14502,8 Oil
2016,7.231852055,1 Geo Biomass
2016,14.41341496,3 Solar
2016,29.9195652,4 Wind
2016,314.3547668,5 Hydro
2016,38.59990692,2 Nuclear
2016,1370.495117,7 Gas
2016,1186.287964,6 Coal
2016,2210.926025,8 Oil
2017,7.62603569,1 Geo Biomass
2017,20.68731308,3 Solar
2017,33.1529007,4 Wind
2017,336.23190310000007,5 Hydro
2017,36.24556351,2 Nuclear
2017,1448.744873,7 Gas
2017,1185.067139,6 Coal
2017,2233.089844,8 Oil
2018,8.172670364,1 Geo Biomass
2018,26.59893036,3 Solar
2018,39.07558823,4 Wind
2018,356.1150818,5 Hydro
2018,29.39964104,2 Nuclear
2018,1543.5507810000001,7 Gas
2018,1163.5998539999998,6 Coal
2018,2257.501953,8 Oil
2019,8.262966156000001,1 Geo Biomass
2019,33.98899078,3 Solar
2019,50.95765305,4 Wind
2019,367.500946,5 Hydro
2019,34.39065170000001,2 Nuclear
