Population,Mobility,Income
164944,0.0642673522,31026
92394,0.0613557659,27831
159374,0.057019267199999994,32507
1246338,0.0572634488,39833
130610,0.0614474267,32903
138212,0.0715361461,31374
252059,0.0599688478,28962
519583,0.056676153099999994,37730
304068,0.071056664,30842
230941,0.0710671544,31581
84309,0.057225432199999995,29411
98362,0.0720288083,28510
490863,0.057053063099999995,35728
104194,0.0708446875,29333
43254,0.064965196,31235
203077,0.0668229759,30499
418304,0.048462133899999996,31877
2395997,0.060128428,42195
598228,0.0520584956,36102
763795,0.0683156624,52947
3955969,0.07296608389999999,38110
1533306,0.062430377999999995,55175
692265,0.0601915196,55875
589177,0.0658892095,45264
1697906,0.0578166097,38370
563598,0.058778915599999995,38459
1176696,0.0492131598,38502
149695,0.049539458,25561
377001,0.05642049389999999,38731
320199,0.0496746562,28321
209914,0.0349367075,29459
722201,0.0372132659,34438
72733,0.0353721455,25544
587297,0.044469237300000006,34601
894291,0.046985749199999996,35225
525842,0.0410487503,33294
35518,0.031144781,35155
27415,0.0359147042,27671
42098,0.0330490395,26103
241530,0.0318490118,27878
113122,0.044591743499999996,26639
93044,0.0473826714,36807
131279,0.048941798499999994,23378
111346,0.0388888903,26439
434615,0.0409670919,39851
386870,0.032611172599999995,33836
108438,0.048065297300000004,26104
83808,0.0322265625,27862
74610,0.0320269689,29575
3798017,0.0453297347,44162
135136,0.0402813293,30888
212223,0.0379506648,30685
89228,0.0416666679,29484
272150,0.06971570099999999,33365
148252,0.0449032262,29631
457299,0.0523430221,32720
303656,0.0349603333,31245
65826,0.0344074294,27083
150911,0.0342648029,27283
426634,0.047025814699999995,30838
172606,0.0581574887,32715
43992,0.0393333323,29034
66396,0.0328861959,29591
181765,0.027632687200000002,30170
61458,0.022954923999999998,25284
223605,0.0582822077,32268
157091,0.046772874900000004,29016
95083,0.036027852400000004,29115
105093,0.0399361029,26131
161169,0.0865883604,28445
1038182,0.0504318327,38196
261112,0.0403225794,30158
63233,0.042383045,27364
623252,0.0612063408,34256
599405,0.0513980016,33321
76853,0.0477876104,27015
367927,0.0330373719,33533
80901,0.06798867139999999,28445
199334,0.1107491851,27294
53037,0.15991471710000002,22244
84011,0.10360825060000001,25086
241044,0.0945812836,41266
2512431,0.06400739400000001,44194
59342,0.0654515326,39561
4632415,0.1098117381,53706
121919,0.09656513480000001,32535
114408,0.1027253643,34016
57510,0.0991831943,26896
303839,0.0630887821,36188
5327827,0.0545927621,44745
447728,0.0641167387,37719
136888,0.0646153837,27945
540707,0.0644080862,36938
120045,0.0743079185,30109
52801,0.0760736167,33400
509606,0.0526231341,36931
1286045,0.063729167,37483
154452,0.0742486715,39703
83975,0.07655502110000001,37711
84783,0.078644067,34474
104421,0.0748898685,34360
1179009,0.048814505300000005,39002
109851,0.0533333346,32903
104034,0.053981106699999996,34115
1954800,0.051211949400000005,42063
52963,0.0528455302,27372
134026,0.10658771539999999,35835
525970,0.0537449978,36577
40195,0.0622914359,28067
86667,0.0727496892,30746
176597,0.081598945,29945
1100767,0.051995485999999994,39192
49985,0.0938271582,31205
66605,0.0762167126,30726
177640,0.0923025683,31538
246623,0.0736145601,34869
260393,0.0694817677,35092
834343,0.0574808046,38616
98981,0.08147321639999999,35188
657906,0.060134567300000004,36189
372184,0.0734009892,35487
129528,0.09151414039999999,35790
192308,0.0661350861,37701
415487,0.0531732403,34884
557161,0.06594656410000001,38529
1507346,0.049006324299999994,42510
163284,0.0746864304,35466
261832,0.082625255,31382
347966,0.09083356710000001,32345
280923,0.08718585220000001,30525
388604,0.0792389214,36908
55642,0.1169398874,31875
54708,0.1098398194,30101
675971,0.081390135,38097
700866,0.0649108514,35700
423702,0.0566001162,38660
