sample_id,metabolite,flux
Healthy4,cgly_m,0.09975360500000001
Healthy4,amp_m,0.1000000127
Healthy4,nmn_m,0.09999998160000001
Healthy4,26dap_M_m,0.099724672
Healthy4,orn_m,0.099718475
Healthy4,csn_m,0.0999999938
Healthy4,acnam_m,1e-06
Healthy4,gam_m,1e-06
Healthy4,acgam_m,1e-06
Healthy4,acmana_m,1e-06
Healthy4,dgsn_m,1e-06
Healthy4,gsn_m,1e-06
Healthy4,metsox_S_L_m,1e-06
Healthy4,adn_m,1e-06
Healthy4,dad_2_m,1e-06
Healthy4,ptrc_m,1.35919e-05
Healthy4,uri_m,0.0393410578
Healthy4,pi_m,0.0084122
Healthy4,asn_L_m,0.022213356
Healthy4,lys_L_m,0.014727382700000001
Healthy4,gln_L_m,0.0177195098
Healthy4,arg_L_m,0.0149997853
Healthy4,his_L_m,0.0149999513
Healthy4,ade_m,1e-06
Healthy4,gua_m,1e-06
Healthy4,tyr_L_m,1e-06
Healthy4,ura_m,0.0034721716000000002
Healthy4,ile_L_m,1e-06
Healthy4,leu_L_m,1e-06
Healthy4,trp_L_m,0.000333623
Healthy4,val_L_m,1e-06
Healthy4,glu_L_m,1e-06
Healthy4,met_L_m,1e-06
Healthy4,pro_L_m,1e-06
Healthy4,fol_m,0.0014279012000000002
Healthy4,fe3_m,0.0024825082
Healthy4,fe2_m,0.0022910382
Healthy4,k_m,0.0023718759
Healthy4,cl_m,0.0023731844
Healthy4,zn2_m,0.0023731551
Healthy4,ca2_m,0.0023735508
Healthy4,cu2_m,0.0023735664000000003
Healthy4,mn2_m,0.0023734923
Healthy4,cobalt2_m,0.002374106
Healthy4,mg2_m,0.0023739827
Healthy4,pnto_R_m,0.0015008481
Healthy4,12dgr180_m,2.4285600000000003e-05
Healthy4,pydam_m,0.0001041724
Healthy4,spmd_m,0.0005054226
Healthy4,thm_m,0.0005012521
Healthy4,pheme_m,0.0004002585
Healthy4,sheme_m,0.0003654693
Healthy4,ocdcea_m,1e-06
Healthy4,q8_m,5.432199999999999e-06
Healthy4,2dmmq8_m,1e-06
Healthy4,4abz_m,1e-06
Healthy4,indole_m,1e-06
Healthy4,gthox_m,1e-06
Healthy4,thymd_m,3.22673e-05
Healthy4,amylose300_m,1e-06
Healthy4,galmannan_m,1e-06
Healthy4,xyluglc_m,1e-06
Healthy4,starch1200_m,1e-06
Healthy4,adocbl_m,1e-06
Healthy4,xyl_D_m,1e-06
Healthy4,mqn7_m,6.0530000000000005e-05
Healthy4,pydx_m,1e-06
Healthy4,pydxn_m,1e-06
Healthy4,ncam_m,1e-06
Healthy4,no2_m,1e-06
Healthy4,gly_m,1e-06
Healthy4,phe_L_m,1e-06
Healthy4,thr_L_m,1e-06
Healthy4,ser_L_m,1e-06
Healthy4,ala_D_m,1e-06
Healthy4,ala_L_m,1e-06
Healthy4,asp_L_m,1e-06
Healthy4,cys_L_m,1e-06
Cancer1,glyc3p_m,0.0536066044
Cancer1,cytd_m,0.099999557
Cancer1,dcyt_m,0.099999892
Cancer1,cgly_m,0.0988379531
Cancer1,amp_m,0.0999997589
Cancer1,nmn_m,0.1000000016
Cancer1,26dap_M_m,0.0948516519
Cancer1,orn_m,0.0941615732
Cancer1,csn_m,0.100000001
Cancer1,acnam_m,1e-06
Cancer1,gam_m,1e-06
Cancer1,acgam_m,1e-06
Cancer1,acmana_m,1e-06
Cancer1,dgsn_m,1e-06
Cancer1,gsn_m,1e-06
Cancer1,metsox_S_L_m,1e-06
Cancer1,adn_m,1e-06
Cancer1,dad_2_m,1e-06
Cancer1,ptrc_m,0.0104722151
Cancer1,uri_m,0.0887007571
Cancer1,pi_m,0.008458627100000001
Cancer1,asn_L_m,0.016234947
Cancer1,lys_L_m,0.0111178374
Cancer1,gln_L_m,0.013097681100000001
Cancer1,arg_L_m,0.014999866700000001
Cancer1,his_L_m,0.014999840300000001
Cancer1,ade_m,1e-06
Cancer1,gua_m,1e-06
Cancer1,tyr_L_m,1e-06
Cancer1,ura_m,0.0120979018
Cancer1,ile_L_m,1e-06
Cancer1,leu_L_m,1e-06
Cancer1,trp_L_m,9.49702e-05
Cancer1,val_L_m,1e-06
Cancer1,glu_L_m,1e-06
Cancer1,met_L_m,1e-06
Cancer1,pro_L_m,1e-06
Cancer1,fol_m,0.0006963427
Cancer1,fe3_m,0.0019083356000000001
Cancer1,fe2_m,0.0012860878
Cancer1,k_m,0.0015957211
Cancer1,cl_m,0.0016046401
Cancer1,zn2_m,0.0016030094
Cancer1,ca2_m,0.0016034945
Cancer1,cu2_m,0.0016034362
Cancer1,mn2_m,0.0016035346
Cancer1,cobalt2_m,0.0016031312000000001
Cancer1,mg2_m,0.0016029698000000002
Cancer1,pnto_R_m,1.2811300000000002e-05
Cancer1,12dgr180_m,1e-06
Cancer1,pydam_m,0.00036153730000000004
Cancer1,spmd_m,0.0002354791
Cancer1,thm_m,0.00022726230000000001
Cancer1,pheme_m,0.0002341539
Cancer1,sheme_m,0.0002272765
Cancer1,ocdcea_m,1e-06
Cancer1,q8_m,5.7026e-06
Cancer1,2dmmq8_m,1e-06
Cancer1,4abz_m,1e-06
Cancer1,indole_m,1e-06
Cancer1,gthox_m,2.8376e-06
Cancer1,thymd_m,1e-06
Cancer1,amylose300_m,1e-06
Cancer1,galmannan_m,1.4100000000000002e-05
Cancer1,xyluglc_m,1e-06
Cancer1,starch1200_m,1e-06
Cancer1,adocbl_m,1e-06
Cancer1,xyl_D_m,1e-06
Cancer1,mqn7_m,2.5912999999999997e-06
Cancer1,pydx_m,1e-06
Cancer1,pydxn_m,1e-06
Cancer1,ncam_m,1e-06
Cancer1,no2_m,1e-06
Cancer1,gly_m,1e-06
Cancer1,phe_L_m,1e-06
Cancer1,thr_L_m,1e-06
Cancer1,ser_L_m,1e-06
Cancer1,ala_D_m,1e-06
Cancer1,ala_L_m,1e-06
Cancer1,asp_L_m,1e-06
Cancer1,cys_L_m,1e-06
Healthy7,glyc3p_m,0.0679462048
Healthy7,cytd_m,0.0999999999
Healthy7,dcyt_m,0.1000000057
Healthy7,cgly_m,0.09835734
Healthy7,amp_m,0.10000000020000001
Healthy7,nmn_m,0.1
Healthy7,26dap_M_m,0.0711114241
Healthy7,orn_m,0.0652224893
Healthy7,csn_m,0.0999999998
Healthy7,acnam_m,1e-06
Healthy7,gam_m,1e-06
Healthy7,acgam_m,1e-06
Healthy7,acmana_m,1e-06
Healthy7,dgsn_m,1e-06
Healthy7,gsn_m,1e-06
Healthy7,metsox_S_L_m,1e-06
Healthy7,adn_m,1e-06
Healthy7,dad_2_m,1e-06
Healthy7,ptrc_m,0.0404576483
Healthy7,uri_m,0.0695849915
Healthy7,pi_m,0.0243723031
Healthy7,asn_L_m,0.0104098931
Healthy7,lys_L_m,0.0076992431
Healthy7,gln_L_m,0.0089420876
Healthy7,arg_L_m,0.014999995300000001
Healthy7,his_L_m,0.015
Healthy7,ade_m,1e-06
Healthy7,gua_m,1e-06
Healthy7,tyr_L_m,1e-06
Healthy7,ura_m,0.0182069347
Healthy7,ile_L_m,1e-06
Healthy7,leu_L_m,1e-06
Healthy7,trp_L_m,0.0001144752
Healthy7,val_L_m,1e-06
Healthy7,glu_L_m,1e-06
Healthy7,met_L_m,1e-06
Healthy7,pro_L_m,1e-06
Healthy7,fol_m,0.0017661181000000001
Healthy7,fe3_m,0.0022248191
Healthy7,fe2_m,0.0022511374
Healthy7,k_m,0.0022046942
Healthy7,cl_m,0.0022047099
Healthy7,zn2_m,0.0022047127
