Agent,rew,env_step
REINFORCE,412.5866,3563520
REINFORCE,381.8078,3594240
REINFORCE,365.5222,3624960
REINFORCE,377.7163,3655680
REINFORCE,383.1321,3686400
REINFORCE,383.9464,3717120
REINFORCE,385.9448,3747840
REINFORCE,400.476,3778560
REINFORCE,388.3522,3809280
REINFORCE,370.6014,3840000
REINFORCE,375.0117,3870720
REINFORCE,379.3578,3901440
REINFORCE,344.8633,3932160
REINFORCE,374.3863,3962880
REINFORCE,365.4688,3993600
REINFORCE,366.4785,4024320
REINFORCE,391.0318,4055040
REINFORCE,381.0298,4085760
REINFORCE,376.8203,4116480
REINFORCE,385.0486,4147200
REINFORCE,392.2119,4177920
REINFORCE,390.4859,4208640
REINFORCE,375.6258,4239360
REINFORCE,360.4221,4270080
REINFORCE,391.1976,4300800
REINFORCE,400.9994,4331520
REINFORCE,390.3708,4362240
REINFORCE,418.1074,4392960
REINFORCE,389.2711,4423680
REINFORCE,400.3435,4454400
REINFORCE,392.0837,4485120
REINFORCE,384.8207,4515840
REINFORCE,388.1618,4546560
REINFORCE,404.4836,4577280
REINFORCE,369.5814,4608000
REINFORCE,389.792,4638720
REINFORCE,398.5943,4669440
REINFORCE,402.502,4700160
REINFORCE,396.9333,4730880
REINFORCE,417.5429,4761600
REINFORCE,387.9348,4792320
REINFORCE,380.8827,4823040
REINFORCE,373.8808,4853760
REINFORCE,407.9777,4884480
REINFORCE,402.8455,4915200
REINFORCE,404.205,4945920
REINFORCE,386.6169,4976640
REINFORCE,408.7262,5007360
REINFORCE,408.2545,5038080
REINFORCE,388.8189,5068800
REINFORCE,394.7104,5099520
REINFORCE,401.2406,5130240
REINFORCE,398.7414,5160960
REINFORCE,373.4073,5191680
REINFORCE,393.8529,5222400
REINFORCE,401.865,5253120
REINFORCE,380.1387,5283840
REINFORCE,387.9333,5314560
REINFORCE,415.7576,5345280
REINFORCE,411.729,5376000
REINFORCE,385.0198,5406720
REINFORCE,407.4051,5437440
REINFORCE,386.1591,5468160
REINFORCE,376.209,5498880
REINFORCE,374.4433,5529600
REINFORCE,381.2189,5560320
REINFORCE,400.3018,5591040
REINFORCE,365.557,5621760
REINFORCE,385.0313,5652480
REINFORCE,397.3092,5683200
REINFORCE,379.5796,5713920
REINFORCE,369.3897,5744640
REINFORCE,375.9339,5775360
REINFORCE,385.4407,5806080
REINFORCE,358.2405,5836800
REINFORCE,379.1335,5867520
REINFORCE,390.6354,5898240
