90Avg,perMet,servArea,dis,sNumber,q,totInc
8.7,82.2,Warrnambool,NORTH & WEST REGIONAL,70,4,104
9.2,82.0,North Balwyn,EASTERN,19,4,147
8.6,82.0,Ormond,SOUTHERN D1,32,4,250
8.62,81.5,Springvale,SOUTHERN D1,89,4,202
8.13,81.2,Corio,WESTERN D3,62,4,207
8.57,80.9,Bendigo,NORTH & WEST REGIONAL,73,4,214
8.45,80.8,Wodonga,SOUTH & EAST REGIONAL,76,4,115
9.08,80.8,Cranbourne,SOUTHERN D2,92,4,230
8.37,80.5,Highett,SOUTHERN D1,34,4,235
8.57,80.1,Broadmeadows,NORTHERN,5,4,260
8.42,80.0,South Warrandyte,EASTERN,84,4,36
8.8,79.3,Spotswood,WESTERN D1,45,4,159
9.2,79.1,Pascoe Vale,NORTHERN,6,4,164
8.82,79.1,Deer Park,WESTERN D2,43,4,141
8.87,78.9,Laverton,WESTERN D1,40,4,92
9.68,77.0,Patterson River,SOUTHERN D2,90,4,94
9.18,76.6,Sunbury,WESTERN D2,53,4,92
9.4,75.8,Craigieburn,NORTHERN,80,4,158
9.5,75.6,Melton,WESTERN D2,56,4,246
10.47,75.6,Point Cook,WESTERN D1,58,4,147
9.48,72.8,Tullamarine,WESTERN D2,52,4,123
10.97,68.5,Greenvale,WESTERN D2,54,4,65
10.97,67.0,Tarneit,WESTERN D1,57,4,259
10.42,66.7,Lara,WESTERN D3,61,4,64
9.98,65.2,Caroline Springs,WESTERN D2,55,4,195
9.33,64.8,Derrimut,WESTERN D1,59,4,125
